ID,Bank,Transaction_date,Amount,Description
1,Bank 1,2024-05-30,4806.96,Online Subscription
2,Bank 2,2023-05-04,3934.71,Healthcare Payment
3,Bank 3,2024-04-25,1542.27,Rent Payment
4,Bank 1,2023-11-10,1564.79,Rent Payment
5,Bank 4,2023-06-22,3415.35,Utility Bill Payment
6,Bank 4,2023-09-22,1144.28,Restaurant Bill
7,Bank 1,2024-01-01,1752.02,Grocery Purchase
8,Bank 1,2023-09-25,1361.93,Grocery Purchase
9,Bank 3,2024-07-24,1835.51,Loan Payment
10,Bank 1,2023-04-04,2028.37,Rent Payment
11,Bank 1,2023-08-25,4377.1,Restaurant Bill
12,Bank 3,2023-05-12,3566.09,Loan Payment
13,Bank 1,2023-01-08,2980.81,Grocery Purchase
14,Bank 4,2024-06-11,1273.08,Restaurant Bill
15,Bank 3,2024-01-13,2262.21,Utility Bill Payment
16,Bank 2,2023-07-15,2272.06,Insurance Premium
17,Bank 3,2023-01-24,2171.2,Healthcare Payment
18,Bank 4,2023-03-16,4518.3,Insurance Premium
19,Bank 3,2024-06-18,2585.65,Utility Bill Payment
20,Bank 2,2023-10-18,1812.03,Cash Withdrawal
21,Bank 2,2023-09-07,351.15,Grocery Purchase
22,Bank 2,2023-01-24,804.65,Rent Payment
23,Bank 2,2023-03-08,319.82,Restaurant Bill
24,Bank 2,2023-01-07,14.52,Salary Deposit
25,Bank 3,2023-06-29,3720.27,Grocery Purchase
26,Bank 1,2023-03-23,2494.07,Transfer to Savings
27,Bank 2,2023-08-18,1492.28,Online Subscription
28,Bank 1,2023-03-15,3355.07,Salary Deposit
29,Bank 2,2023-01-11,1824.01,Restaurant Bill
30,Bank 4,2023-06-07,4428.05,Utility Bill Payment
31,Bank 3,2024-06-01,389.66,Utility Bill Payment
32,Bank 1,2023-11-14,2328.24,Rent Payment
33,Bank 4,2023-05-09,2355.23,Rent Payment
34,Bank 4,2023-02-28,4454.15,Utility Bill Payment
35,Bank 2,2023-08-27,2335.51,Online Subscription
36,Bank 3,2024-04-15,4146.73,Grocery Purchase
37,Bank 3,2023-10-26,2811.81,Grocery Purchase
38,Bank 2,2024-04-25,4249.01,Restaurant Bill
39,Bank 1,2024-07-08,3086.58,Shopping
40,Bank 4,2024-04-26,4510.78,Cash Withdrawal
41,Bank 3,2023-07-09,4003.11,Shopping
42,Bank 1,2023-08-14,199.85,Utility Bill Payment
43,Bank 4,2023-04-18,4596.74,Salary Deposit
44,Bank 2,2024-05-16,4742.28,Utility Bill Payment
45,Bank 4,2023-07-27,4307.65,Transfer to Savings
46,Bank 1,2023-07-22,4664.22,Utility Bill Payment
47,Bank 4,2023-03-07,3396.14,Healthcare Payment
48,Bank 2,2023-03-07,2798.5,Transfer to Savings
49,Bank 4,2024-04-15,1912.03,Restaurant Bill
50,Bank 3,2023-04-08,3395.45,Insurance Premium
51,Bank 1,2023-06-17,1754.91,Transfer to Savings
52,Bank 2,2023-09-17,4770.77,Online Subscription
53,Bank 2,2023-03-22,3532.43,Cash Withdrawal
54,Bank 2,2023-04-03,1771.68,Online Subscription
55,Bank 1,2023-12-27,1732.84,Shopping
56,Bank 2,2024-05-13,645.15,Online Subscription
57,Bank 3,2023-06-22,2683.01,Loan Payment
58,Bank 2,2023-03-16,1319.13,Utility Bill Payment
59,Bank 4,2023-06-09,1071.5,Insurance Premium
60,Bank 4,2023-04-28,1596.95,Shopping
61,Bank 4,2023-07-16,2504.31,Healthcare Payment
62,Bank 3,2024-05-25,2947.6,Cash Withdrawal
63,Bank 4,2024-05-24,693.43,Utility Bill Payment
64,Bank 2,2023-10-13,4427.92,Restaurant Bill
65,Bank 2,2023-03-07,3856.55,Insurance Premium
66,Bank 3,2023-12-24,2726.51,Healthcare Payment
67,Bank 3,2023-05-20,3120.2,Utility Bill Payment
68,Bank 4,2024-04-08,1344.91,Cash Withdrawal
69,Bank 2,2024-03-23,4977.67,Online Subscription
70,Bank 2,2023-07-25,3855.24,Loan Payment
71,Bank 1,2023-10-28,3846.83,Grocery Purchase
72,Bank 4,2024-05-01,1825.47,Rent Payment
73,Bank 3,2024-07-03,1876.29,Online Subscription
74,Bank 4,2023-11-01,4432.28,Loan Payment
75,Bank 1,2023-05-09,1731.66,Transfer to Savings
76,Bank 1,2024-01-27,71.48,Restaurant Bill
77,Bank 3,2023-06-10,205.48,Transfer to Savings
78,Bank 4,2024-06-07,2224.16,Insurance Premium
79,Bank 3,2023-03-13,4638.65,Grocery Purchase
80,Bank 2,2024-04-07,852.96,Transfer to Savings
81,Bank 2,2023-01-14,4894.76,Salary Deposit
82,Bank 2,2023-04-25,1418.9,Shopping
83,Bank 1,2024-05-11,3485.79,Restaurant Bill
84,Bank 3,2024-02-03,1705.38,Utility Bill Payment
85,Bank 1,2023-04-24,1895.06,Rent Payment
86,Bank 2,2023-04-16,2388.22,Restaurant Bill
87,Bank 4,2023-12-19,4982.79,Rent Payment
88,Bank 3,2024-04-12,564.45,Shopping
89,Bank 3,2023-08-11,3562.14,Insurance Premium
90,Bank 3,2023-12-13,1253.44,Healthcare Payment
91,Bank 3,2023-10-23,1808.32,Healthcare Payment
92,Bank 1,2023-03-29,2652.61,Online
